paragraph	content
1	존경하는 국민 여러분!
2	700만 해외동포 여러분!
3	이 자리에 참석하신 노무현ㆍ김대중ㆍ김영삼ㆍ전두환 전 대통령, 그리고 이슬람 카리모프 우즈베키스탄 대통령, 엥흐바야르 남바르 몽골 대통령, 삼덱 훈센 캄보디아 총리, 후쿠다 야스오 일본 내각 총리대신, 빅토르 주브코프 러시아 연방 총리, 무하마드 유수프 칼라 인도네시아 부통령을 비롯한 각국 경축사절과 내외 귀빈 여러분, 감사합니다.
4	저는 오늘 국민 여러분의 부름을 받고 대한민국의 제17대 대통령에 취임합니다. 한없이 자랑스러운 나라, 한없이 위대한 국민 앞에 엄숙한 마음으로 경의를 표하며 제게 주어진 역사적ㆍ시대적 사명에 신명을 바칠 것을 굳게 다짐합니다.
5	저는 이 자리에서 국민 여러분께 약속드립니다. 국민을 섬겨 나라를 편안하게 하겠습니다. 경제를 발전시키고 사회를 통합하겠습니다. 문화를 창달하고 과학기술을 발전시키겠습니다. 안보를 튼튼히 하고 평화 통일의 기반을 다지겠습니다. 국제사회에 책임을 다하고 인류공영에 이바지하겠습니다.
6	올해로 대한민국 건국 60주년을 맞이합니다. 우리는 잃었던 땅을 되찾아 나라를 세웠고, 그 나라를 지키려고 목숨을 걸었습니다. 모두가 하나같이 열심히 살았습니다. 그리하여 세계 역사상 최단 기간에 산업화와 민주화라는 과업을 동시에 이루어 내었습니다. 오로지 우리의 의지와 우리의 힘으로 일구었습니다.
7	지구 상에서 가장 가난했던 나라가 세계 10위권의 경제 대국이 되었습니다. 도움을 받는 나라에서 베푸는 나라로 올라섰습니다. 이제 선진국들과 어깨를 나란히 할 수 있게 되었습니다. 남들은 이것을 ‘기적’이라고 부릅니다. ‘신화’라고도 합니다.
8	그러나 우리는 알고 있습니다. 그것은 기적이 아니라 우리가 다 함께 흘린 피와 땀과 눈물의 결정입니다. 그것은 신화가 아니라, 우리가 살아온 진실한 삶의 이야기입니다.
9	독립을 위해 목숨을 바친 선열들, 전선에서 산화한 장병들, 뙤약볕과 비바람 속에 땅을 일군 농민들, 밤낮없이 산업현장을 지켜 낸 근로자들, 젊음을 바쳐 민주화를 일구어 낸 청년들의 눈물겹도록 위대한 이야기입니다.
10	장롱 속 금붙이를 들고나와 외환위기에 맞섰던 시민들, 겨울 바닷가에서 기름을 걷고 닦는 자원봉사자들, 그리고 사회 각 영역에서 맡은 바 임무를 묵묵히 수행해 온 수많은 직장인과 공직자들, 이들 모두가 대한민국 성공신화의 주역들입니다.
11	이제 우리는 이런 이야기를 내놓고 할 수 있게 되었습니다. 감사하는 마음으로, 그러나 떳떳이 하는 이야기입니다. 이 자부심이 미래를 여는 대한민국의 힘입니다.
12	이제 저는 여러분과 함께 자신감을 가지고 미래로 가는 길을 찾아 열어 가고자 합니다. 과거의 굴레에서 벗어나 현실의 제약을 여유롭게 바라보면서 미래의 가능성을 향해 함께 전진하고자 합니다.
13	존경하는 국민 여러분!
14	저는 대한민국 대통령으로서 새로운 60년을 시작하는 첫해인 2008년을 대한민국 선진화의 원년으로 선포합니다. 산업화와 민주화의 결실을 소중하게 가꾸고 각자가 스스로 자기 몫을 다하며, 공공의 복리를 위해 협력하는 사회, 풍요와 배려와 품격이 넘치는 나라를 향한 장엄한 출발을 선언합니다.
15	지난 10년, 더러는 멈칫거리고 좌절하기도 했지만 이제 성취의 기쁨은 물론 실패의 아픔까지도 자산으로 삼아 우리는 다시 시작할 것입니다.
16	우리는 ‘이념의 시대’를 넘어 ‘실용의 시대’로 나가야 합니다. 실용정신은 동서양의 역사를 관통하는 합리적 원리이자 세계화 물결을 헤쳐나가는 데 유효한 실천적 지혜입니다. 인간과 자연, 물질과 정신, 개인과 공동체가 건강하고 아름답게 어우러지는 삶을 구현하는 시대정신입니다. 대한민국의 선진화를 이룩하는 데 너와 내가 따로 없고, 우리와 그들의 차별이 없습니다. 협력과 조화를 향한 실용정신으로 계층 갈등을 녹이고 강경 투쟁을 풀고자 합니다.
